#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Closed,Related issues,Resolution,Affected version
32326,Redmine,Patch,"",Needs feedback,Normal,Update it.yml locale,pasquale [:dedalus],pasquale [:dedalus],2019-10-29 09:51,Translations,"","","","",0,2019-10-23 13:23,"","related to #32354, related to #32358, related to #32380","",""
32322,Redmine,Defect,"",Needs feedback,Normal,changes made to filter/column/groupby is not saved to session cookie,Taine Woo,"",2019-11-01 15:39,Issues filter,"","","","",0,2019-10-22 09:31,"",related to #24581,"",4.0.4
32317,Redmine,Feature,"",New,Normal,Issue filter: locale: label_issue: confusing the Issue and IssueID,Taine Woo,"",2019-10-22 22:41,Issues filter,"","","","",0,2019-10-22 07:37,"","","",""
32315,Redmine,Defect,"",New,Normal,Impossible to validate API key without modifying anything,Nathan Cutler,"",2019-11-04 01:19,REST API,"","","","",0,2019-10-21 22:09,"","","",""
32314,Redmine,Defect,"",Needs feedback,Normal,"Notification for ""Only for things I watch or I'm involed in"" not works",pasquale [:dedalus],pasquale [:dedalus],2019-11-21 17:08,Email notifications,"","","","",0,2019-10-21 19:15,"","","",4.0.5
32312,Redmine,Feature,"",New,Normal,Disable auto selecting in top right Project filter,Yury Vashinko,"",2019-10-21 09:53,"","","","","",0,2019-10-21 09:53,"","","",""
32311,Redmine,Feature,"",New,Normal,Filter Issues by multiple issue_id doesn't support space character or semicolon/dash as the separator,Taine Woo,"",2019-11-01 15:52,Issues filter,"","","","",0,2019-10-21 09:20,"","","",""
32305,Redmine,Defect,"",New,Normal,Use of notextile tag disables Redmine revision links,Mischa The Evil,"",2019-10-20 07:29,Text formatting,"","","","",0,2019-10-20 07:29,"","","",""
32299,Redmine,Defect,"",New,Normal,Cannot add some filters in Gantt if Issue tracking module is disabled for the project,Go MAEDA,"",2019-10-18 10:41,Gantt,"","","","",0,2019-10-18 10:41,"","","",""
32296,Redmine,Patch,"",New,Normal,Ignore rubocop offense,Masahiro IUCHI,"",2019-11-04 03:50,Code cleanup/refactoring,"","","","",0,2019-10-18 08:42,"","","",""
32293,Redmine,Defect,"",Confirmed,Normal,Redmine does not start if optional openid gems are not installed,Go MAEDA,"",2019-10-20 06:52,Gems support,"","","","",0,2019-10-18 04:15,"","","",""
32278,Redmine,Feature,"",New,Normal,Display Global Roadmap without any tracker,Brice Beaumesnil,"",2019-10-17 10:12,Roadmap,"","","","",0,2019-10-15 11:12,"",related to #6432,"",""
32253,Redmine,Defect,"",New,Normal,Last Mercurial version supported,Guillermo ML,"",2019-10-14 13:55,Documentation,"","","","",0,2019-10-14 13:55,"","","",""
